## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 47400C1B   7   7   t   26      10          4              1      HO    -3    27      4
 4740101B   7  13   t   27       0          4              2      HO    -4    27      4
 4E24021B   7  13   t   27       0          4              1     HOX    -4    27   -999
 4740141B   7  13   t   27       0          3              0      HO    -5    27      4
 4740181B   7  13   t   27       0          2              1      HO    -6    27      4
 47401C1B   7  13   t   27       0          1              0      HO    -7    27      4
 4740201B   7  14   t   27       2          8              1      HO    -8    27      4
 4740241B   7  14   t   27       2          7              0      HO    -9    27      4
 4740281B   7  14   t   27       2          6              1      HO   -10    27      4
 47402C1B   7  14   t   27       2          5              0      HO   -11    27      4
 4740301B   7  14   t   27       2          4              1      HO   -12    27      4
 4740341B   7  14   t   27       2          3              0      HO   -13    27      4
 4740381B   7  14   t   27       2          2              1      HO   -14    27      4
 47403C1B   7  14   t   27       2          1              0      HO   -15    27      4
 4E24079B   7   7   b   26      11          8              1     HOX   -15    27   -999
 4740041C   7   7   t   26      10          5              0      HO    -1    28      4
 4740081C   7   7   t   26      10          4              2      HO    -2    28      4
 47400C1C   7   7   t   26      10          4              0      HO    -3    28      4
 4740101C   7  13   t   27       0          4              0      HO    -4    28      4
 4740141C   7  13   t   27       0          3              2      HO    -5    28      4
 4740181C   7  13   t   27       0          2              0      HO    -6    28      4
 47401C1C   7  13   t   27       0          1              2      HO    -7    28      4
 4740201C   7  14   t   27       2          8              0      HO    -8    28      4
 4740241C   7  14   t   27       2          7              2      HO    -9    28      4
 4740281C   7  14   t   27       2          6              0      HO   -10    28      4
 47402C1C   7  14   t   27       2          5              2      HO   -11    28      4
