## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 43203C12  20   5   u    0       0          2              1      HB   -15    18      2
 43103812  20   5   u    0       0          2              2      HB   -14    18      1
 43103C12  20   5   u    0       0          3              0      HB   -15    18      1
 43103412  20   5   u    0       0          3              1      HB   -13    18      1
 43104012  20   5   u    0       0          3              2      HB   -16    18      1
 43204011  20   5   u    0       0          4              0      HB   -16    17      2
 43203C11  20   5   u    0       0          4              1      HB   -15    17      2
 43103811  20   5   u    0       0          4              2      HB   -14    17      1
 43103C11  20   5   u    0       0          5              0      HB   -15    17      1
 43103411  20   5   u    0       0          5              1      HB   -13    17      1
 43104011  20   5   u    0       0          5              2      HB   -16    17      1
 45104412  20   5   u    0       0          6              0      HE   -17    18      1
 45304012  20   5   u    0       0          6              1      HE   -16    18      3
 45106811  20   5   u    0       0          6              2      HE   -26    17      1
 45104812  20   5   u    0       0          7              0      HE   -18    18      1
 45204812  20   5   u    0       0          7              1      HE   -18    18      2
 45206811  20   5   u    0       0          7              2      HE   -26    17      2
 45104411  20   5   u    0       0          8              0      HE   -17    17      1
 45304011  20   5   u    0       0          8              1      HE   -16    17      3
 45106411  20   5   u    0       0          8              2      HE   -25    17      1
 45104811  20   5   u    0       0          9              0      HE   -18    17      1
 45204811  20   5   u    0       0          9              1      HE   -18    17      2
 45206411  20   5   u    0       0          9              2      HE   -25    17      2
 45106C0F  20   6   u    0       0         14              0      HE   -27    15      1
 45206C0F  20   6   u    0       0         14              1      HE   -27    15      2
 4520740F  20   6   u    0       0         14              2      HE   -29    15      2
 45306C0F  20   6   u    0       0         15              0      HE   -27    15      3
 45205C0F  20   6   u    0       0         15              1      HE   -23    15      2
 45105C0F  20   6   u    0       0         15              2      HE   -23    15      1
 4510700F  20   6   u    0       0         16              0      HE   -28    15      1
 4520700F  20   6   u    0       0         16              1      HE   -28    15      2
 4510740F  20   6   u    0       0         16              2      HE   -29    15      1
 4530700F  20   6   u    0       0         17              0      HE   -28    15      3
 4520600F  20   6   u    0       0         17              1      HE   -24    15      2
 4510600F  20   6   u    0       0         17              2      HE   -24    15      1
 45204C10  20   6   u    0       0         18              0      HE   -19    16      2
 45105010  20   6   u    0       0         18              1      HE   -20    16      1
 4520540F  20   6   u    0       0         18              2      HE   -21    15      2
 45104C10  20   6   u    0       0         19              0      HE   -19    16      1
 45205010  20   6   u    0       0         19              1      HE   -20    16      2
 4510540F  20   6   u    0       0         19              2      HE   -21    15      1
 45204C0F  20   6   u    0       0         20              0      HE   -19    15      2
 4510500F  20   6   u    0       0         20              1      HE   -20    15      1
 4520580F  20   6   u    0       0         20              2      HE   -22    15      2
 45104C0F  20   6   u    0       0         21              0      HE   -19    15      1
 4520500F  20   6   u    0       0         21              1      HE   -20    15      2
 4510580F  20   6   u    0       0         21              2      HE   -22    15      1
 45107011  20   6   u    0       0          2              0      HE   -28    17      1
 45207011  20   6   u    0       0          2              1      HE   -28    17      2
 45107411  20   6   u    0       0          2              2      HE   -29    17      1
 45307011  20   6   u    0       0          3              0      HE   -28    17      3
 45206011  20   6   u    0       0          3              1      HE   -24    17      2
 45106011  20   6   u    0       0          3              2      HE   -24    17      1
 45106C11  20   6   u    0       0          4              0      HE   -27    17      1
 45206C11  20   6   u    0       0          4              1      HE   -27    17      2
 45207411  20   6   u    0       0          4              2      HE   -29    17      2
 45306C11  20   6   u    0       0          5              0      HE   -27    17      3
 45205C11  20   6   u    0       0          5              1      HE   -23    17      2
 45105C11  20   6   u    0       0          5              2      HE   -23    17      1
 45204C12  20   6   u    0       0          6              0      HE   -19    18      2
 45105012  20   6   u    0       0          6              1      HE   -20    18      1
 45205811  20   6   u    0       0          6              2      HE   -22    17      2
 45104C12  20   6   u    0       0          7              0      HE   -19    18      1
 45205012  20   6   u    0       0          7              1      HE   -20    18      2
 45105811  20   6   u    0       0          7              2      HE   -22    17      1
 45204C11  20   6   u    0       0          8              0      HE   -19    17      2
 45105011  20   6   u    0       0          8              1      HE   -20    17      1
 45205411  20   6   u    0       0          8              2      HE   -21    17      2
 45104C11  20   6   u    0       0          9              0      HE   -19    17      1
 45205011  20   6   u    0       0          9              1      HE   -20    17      2
 45105411  20   6   u    0       0          9              2      HE   -21    17      1
 43182C0B  20   7   u    0       0         14              0      HB    11    11      1
 43181C0B  20   7   u    0       0         14              1      HB     7    11      1
 43180C0B  20   7   u    0       0         14              2      HB     3    11      1
 4318140B  20   7   u    0       0         15              0      HB     5    11      1
 4318040B  20   7   u    0       0         15              1      HB     1    11      1
 4318240B  20   7   u    0       0         15              2      HB     9    11      1
 43182C0C  20   7   u    0       0         16              0      HB    11    12      1
 43181C0C  20   7   u    0       0         16              1      HB     7    12      1
 43180C0C  20   7   u    0       0         16              2      HB     3    12      1
 4318140C  20   7   u    0       0         17              0      HB     5    12      1
 4318040C  20   7   u    0       0         17              1      HB     1    12      1
 4318240C  20   7   u    0       0         17              2      HB     9    12      1
 4318280B  20   7   u    0       0         18              0      HB    10    11      1
 4318180B  20   7   u    0       0         18              1      HB     6    11      1
 4318080B  20   7   u    0       0         18              2      HB     2    11      1
